INDEX,POS,CON,INDICATOR,RETURN,CUM_RETURN
2006-01-04,S,2006-02-15,S,0.005017921146953319,-0.4477734325156608
2006-01-05,S,2006-02-15,S,0.007204610951008772,-0.44379485494012527
2006-01-06,S,2006-02-15,S,0.01596516690856309,-0.4349149469638429
2006-01-09,S,2006-02-15,S,0.014011799410029613,-0.4269970885510943
2006-01-10,S,2006-02-15,S,0.02169035153328336,-0.4145684539721727
2006-01-11,S,2006-02-15,S,0.014525993883792054,-0.4060644789151935
2006-01-12,S,2006-02-15,S,-0.012412723041117069,-0.41343683604270076
2006-01-13,S,2006-02-15,S,0.005363984674329525,-0.41029052022070756
2006-01-17,S,2006-02-15,S,-0.014637904468412843,-0.4189226312498343
2006-01-18,S,2006-02-15,S,-0.009111617312072884,-0.42421718586259205
2006-01-19,S,2006-02-15,S,0.010534236267870534,-0.4181517536594893
2006-01-20,S,2006-02-15,S,-0.03498098859315579,-0.4385053805276744
2006-01-23,S,2006-02-15,S,-0.012490815576781777,-0.4455189062668585
2006-01-24,L,2006-02-15,L,-0.020319303338171224,-0.4567855758057032
2006-01-25,L,2006-02-15,L,-0.020000000000000018,-0.4676498642895892
2006-01-26,L,2006-02-15,L,-0.028722600151171673,-0.48294034437802136
2006-01-27,L,2006-02-15,L,-0.015564202334630295,-0.49098796547719614
2006-01-30,L,2006-02-15,L,-0.011857707509881465,-0.49702368130157726
2006-01-31,L,2006-03-22,L,-0.015037593984962516,-0.5045872349662153
2006-02-01,L,2006-03-22,L,0.0,-0.5045872349662153
2006-02-02,L,2006-03-22,L,0.0022900763358779663,-0.5034527019165196
2006-02-03,L,2006-03-22,L,-0.004569687738004591,-0.505721768015911
2006-02-06,L,2006-03-22,L,0.009946442234123776,-0.5008054581338963
2006-02-07,L,2006-03-22,L,0.0007575757575759567,-0.5004272804506643
2006-02-08,L,2006-03-22,L,-0.019682059046177258,-0.5102599002146937
2006-02-09,L,2006-03-22,L,-0.011583011583011449,-0.5159325654631721
2006-02-10,L,2006-03-22,L,-0.00390625,-0.5178234538793316
2006-02-13,L,2006-03-22,L,0.017254901960784386,-0.5095035448482298
2006-02-14,L,2006-03-22,L,-0.010794140323824308,-0.5147980324134764
2006-02-15,L,2006-03-22,L,0.00623538581449723,-0.5117726109476213
2006-02-16,L,2006-03-22,L,-0.018590240123934954,-0.5208488753451868
2006-02-17,L,2006-03-22,L,-0.012628255722178405,-0.5268997182768971
2006-02-21,L,2006-03-22,L,-0.010391686650679355,-0.5318160281589117
2006-02-22,L,2006-03-22,L,-0.02342487883683364,-0.5427831809726368
