cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
7192.0,2371.0,2866.0,198.0,4199.0,1078.0,0.0,244.0,32095.0,16947.0,2835.0,4238.0,16.0,427.0,37249.0,395.0,21.0,1509.0,713.0,117.0,5903.0,0.0,25571.0,6602.0,9460.0,1771.0,1737.0,0.0,3513.0,0.0,26860.0,196127.0,2020-11-15
8962.0,5709.0,3056.0,207.0,7355.0,1037.0,267.0,316.0,23794.0,22461.0,3038.0,4836.0,10.0,467.0,40902.0,455.0,24.0,2066.0,713.0,121.0,6086.0,723.0,24051.0,6653.0,9489.0,2024.0,1515.0,0.0,6731.0,6715.0,27301.0,217084.0,2020-11-14
10368.0,6482.0,3082.0,185.0,7870.0,1011.0,373.0,197.0,33172.0,23542.0,3316.0,5097.0,18.0,385.0,37977.0,533.0,31.0,1550.0,795.0,150.0,5627.0,618.0,22683.0,5839.0,10142.0,2591.0,1931.0,21371.0,5564.0,6893.0,33470.0,252863.0,2020-11-13
9643.0,2004.0,2597.0,165.0,8925.0,994.0,132.0,238.0,35879.0,21866.0,2751.0,3927.0,28.0,358.0,32961.0,453.0,32.0,1421.0,483.0,109.0,5400.0,564.0,25221.0,4935.0,9799.0,2058.0,2222.0,19511.0,5709.0,8238.0,22950.0,231573.0,2020-11-12
3839.0,7701.0,1467.0,198.0,9005.0,1066.0,126.0,220.0,22180.0,18487.0,2383.0,3945.0,13.0,230.0,35090.0,208.0,45.0,1086.0,176.0,141.0,4664.0,594.0,25454.0,3817.0,7304.0,1051.0,1092.0,19096.0,4498.0,5935.0,20412.0,201523.0,2020-11-11
5704.0,8636.0,1529.0,111.0,6047.0,771.0,125.0,90.0,20155.0,15332.0,1489.0,4140.0,23.0,265.0,25269.0,92.0,29.0,1056.0,570.0,153.0,4674.0,1502.0,21713.0,4096.0,3240.0,577.0,464.0,17395.0,3725.0,17245.0,21350.0,187567.0,2020-11-10
6006.0,1448.0,2543.0,116.0,3608.0,891.0,192.0,412.0,38619.0,13363.0,1889.0,5162.0,15.0,539.0,32614.0,215.0,23.0,1980.0,0.0,102.0,5659.0,0.0,24785.0,5784.0,6752.0,1828.0,890.0,52386.0,2097.0,0.0,20572.0,230490.0,2020-11-09
7898.0,3046.0,2399.0,314.0,7723.0,1050.0,228.0,0.0,86852.0,16017.0,2555.0,4673.0,24.0,317.0,39809.0,404.0,12.0,1972.0,675.0,102.0,6659.0,0.0,27875.0,6640.0,9937.0,2579.0,1613.0,0.0,4452.0,0.0,24957.0,260782.0,2020-11-08
6324.0,6648.0,2890.0,224.0,11552.0,1427.0,241.0,266.0,60486.0,23399.0,2447.0,5318.0,22.0,492.0,37802.0,357.0,50.0,1656.0,659.0,146.0,7232.0,650.0,27086.0,5550.0,10260.0,2354.0,1564.0,0.0,4453.0,9359.0,23287.0,254201.0,2020-11-07
7051.0,7659.0,2848.0,233.0,13229.0,1223.0,131.0,189.0,58046.0,21506.0,2915.0,4709.0,28.0,563.0,34502.0,367.0,30.0,999.0,803.0,129.0,6957.0,621.0,27143.0,4410.0,9714.0,1962.0,1686.0,22516.0,4744.0,10098.0,24138.0,271149.0,2020-11-06
6514.0,9230.0,2480.0,166.0,15731.0,936.0,208.0,293.0,40558.0,19990.0,2646.0,3928.0,32.0,435.0,30548.0,313.0,30.0,639.0,710.0,173.0,7622.0,620.0,24692.0,7497.0,8651.0,3216.0,2025.0,21908.0,4483.0,10043.0,25177.0,251494.0,2020-11-05
4445.0,12102.0,1427.0,174.0,12089.0,1353.0,79.0,237.0,36330.0,17214.0,2166.0,4219.0,26.0,298.0,28241.0,171.0,36.0,897.0,533.0,84.0,7729.0,700.0,19364.0,2596.0,7733.0,1727.0,1177.0,25042.0,3608.0,6090.0,20018.0,217905.0,2020-11-04
3160.0,13858.0,1165.0,197.0,9252.0,942.0,61.0,109.0,52518.0,15352.0,1151.0,3989.0,41.0,748.0,22253.0,132.0,56.0,837.0,319.0,106.0,8278.0,1071.0,15578.0,2506.0,4041.0,1883.0,557.0,18669.0,1570.0,21842.0,18950.0,221191.0,2020-11-03
4526.0,2666.0,2179.0,197.0,6542.0,948.0,80.0,178.0,49290.0,12097.0,1678.0,3581.0,25.0,546.0,29905.0,242.0,18.0,895.0,849.0,218.0,8673.0,0.0,17171.0,3062.0,5324.0,2282.0,1342.0,55019.0,1297.0,0.0,23254.0,234084.0,2020-11-02
5141.0,6308.0,2769.0,149.0,11429.0,1126.0,134.0,203.0,32641.0,14177.0,2055.0,3878.0,68.0,397.0,31756.0,215.0,10.0,1001.0,799.0,140.0,9790.0,0.0,21897.0,4007.0,5753.0,2573.0,1797.0,0.0,2987.0,0.0,21915.0,185115.0,2020-11-01
5243.0,15401.0,2772.0,166.0,13605.0,1191.0,100.0,344.0,49215.0,19059.0,1686.0,3908.0,78.0,762.0,31079.0,284.0,37.0,735.0,778.0,100.0,11102.0,497.0,21629.0,4656.0,6546.0,3363.0,1805.0,0.0,4055.0,9170.0,24405.0,233771.0,2020-10-31
